.draw,method,effect,estimate
1,GAM bootstrap,Total effect,6.637741096458205
1,GAM bootstrap,Controlled direct effect,2.317792824988261
1,GAM bootstrap,Indirect effect,4.3199482714699435
2,GAM bootstrap,Total effect,5.433119210239946
2,GAM bootstrap,Controlled direct effect,2.0529456093950755
2,GAM bootstrap,Indirect effect,3.3801736008448704
3,GAM bootstrap,Total effect,6.064220553494362
3,GAM bootstrap,Controlled direct effect,1.7104606903137518
3,GAM bootstrap,Indirect effect,4.35375986318061
4,GAM bootstrap,Total effect,4.935587892346241
4,GAM bootstrap,Controlled direct effect,2.235998453403502
4,GAM bootstrap,Indirect effect,2.6995894389427395
5,GAM bootstrap,Total effect,6.2123069001216855
5,GAM bootstrap,Controlled direct effect,2.0721565769851744
5,GAM bootstrap,Indirect effect,4.1401503231365115
6,GAM bootstrap,Total effect,6.595330549099192
6,GAM bootstrap,Controlled direct effect,1.9689827695248177
6,GAM bootstrap,Indirect effect,4.626347779574374
7,GAM bootstrap,Total effect,7.593049332523403
7,GAM bootstrap,Controlled direct effect,2.897768576402839
7,GAM bootstrap,Indirect effect,4.695280756120564
8,GAM bootstrap,Total effect,5.024036258048072
8,GAM bootstrap,Controlled direct effect,2.4165979807415026
8,GAM bootstrap,Indirect effect,2.60743827730657
9,GAM bootstrap,Total effect,6.018835454676793
9,GAM bootstrap,Controlled direct effect,2.3389114235015818
9,GAM bootstrap,Indirect effect,3.6799240311752115
10,GAM bootstrap,Total effect,6.012125907008399
10,GAM bootstrap,Controlled direct effect,2.499131427012177
10,GAM bootstrap,Indirect effect,3.5129944799962223
11,GAM bootstrap,Total effect,4.935961935970224
11,GAM bootstrap,Controlled direct effect,1.9701101995086852
11,GAM bootstrap,Indirect effect,2.9658517364615387
12,GAM bootstrap,Total effect,5.805712959820781
12,GAM bootstrap,Controlled direct effect,1.5715921099835843
12,GAM bootstrap,Indirect effect,4.234120849837197
13,GAM bootstrap,Total effect,6.67242162267835
13,GAM bootstrap,Controlled direct effect,1.966912228239103
13,GAM bootstrap,Indirect effect,4.705509394439247
14,GAM bootstrap,Total effect,5.949035090880119
14,GAM bootstrap,Controlled direct effect,2.004179275052347
14,GAM bootstrap,Indirect effect,3.944855815827772
15,GAM bootstrap,Total effect,6.091177888457281
15,GAM bootstrap,Controlled direct effect,1.8141116948708746
15,GAM bootstrap,Indirect effect,4.277066193586407
16,GAM bootstrap,Total effect,6.178050298777943
16,GAM bootstrap,Controlled direct effect,2.209444768383685
16,GAM bootstrap,Indirect effect,3.9686055303942576
17,GAM bootstrap,Total effect,5.883501433297861
17,GAM bootstrap,Controlled direct effect,2.369742626981229
17,GAM bootstrap,Indirect effect,3.5137588063166314
18,GAM bootstrap,Total effect,5.8538663670042075
